"Plot_ID","Species_richness","Species_diversity","Sitecode","Year","Eastings","Northings","BAP_broad","BAP_priority","NVC_FIRST","Light","Wetness","pH","Fertility","Competition","Stress","Ruderals","NVC_subgroup","NVC_group","NVC_habitat","Vegetation_height","STD_HEIGHT","Litter","Bare_ground","NA","NA","NA","NA","NA","NA","NA"
"Y9",26,0.942216981132076,"B29",2017,277922,78356,"Broadleaved, Mixed And Yew Woodland","Lowland Mixed Deciduous Woodland","W10c:30.83",5.9,6.4,4.6,4.3,2.95,2.93,1.88,"W10c","W10","W",7.32,7.42024258363566,25,9,8,NA,NA,NA,NA,NA,NA
"Y10",18,0.894169524742773,"B29",2017,278395,78614,"Broadleaved, Mixed And Yew Woodland","Lowland Mixed Deciduous Woodland","W10c:44.60",5.9,6,3.4,3.4,3.1,2.9,1.04,"W10c","W10","W",22.2083333333333,8.90519714727776,20,9,1,NA,NA,NA,NA,NA,NA
"Y24",17,0.892079727248885,"B29",2017,278552,79106,"Dwarf Shrub Heath","Lowland Heathland","H2c:39.22",6.6,7,3.8,3.2,2.9,3.06,1.13,"H2c","H2","H",6.84,6.1892379714038,25,0,NA,NA,NA,NA,NA,NA,NA
"Y25",8,0.761345852895149,"B29",2017,278663,79044,"Dwarf Shrub Heath","Lowland Heathland","H2c:44.69",6.5,6.1,3,2.6,4.03,1.97,1,"H2c","H2","H",42.6,17.0244921608057,25,0,NA,NA,NA,NA,NA,NA,NA
"Y34",10,0.820175438596491,"B29",2017,277201,78798,"Broadleaved, Mixed And Yew Woodland","Lowland Mixed Deciduous Woodland","W10c:42.40",5.7,5.7,3.5,3.5,3.29,2.71,1,"W10c","W10","W",6.28,6.82837218278754,25,7,8,NA,NA,NA,NA,NA,NA
"Y35",24,0.90995582738702,"B29",2017,277000,78800,"Broadleaved, Mixed And Yew Woodland","Lowland Mixed Deciduous Woodland","W10c:39.97",5.3,5.9,4.3,4.2,2.87,3.13,1.13,"W10c","W10","W",10.64,5.99221717452452,25,0,NA,NA,NA,NA,NA,NA,NA
"Y36",7,0.737903225806452,"B29",2017,278200,78200,"Broadleaved, Mixed And Yew Woodland","Lowland Mixed Deciduous Woodland","W15a:25.19",5,5.5,4,4,2,4,1,"W15a","W15","W",0.6,2.39791576165636,25,0,NA,NA,NA,NA,NA,NA,NA
"Y37",21,0.936752251646727,"B29",2017,278600,78400,"Broadleaved, Mixed And Yew Woodland","Lowland Mixed Deciduous Woodland","H4:54.05",6.6,6,3.3,2.8,2.97,3,1.12,"H4","H4","H",6.28,5.77003755042663,25,0,NA,NA,NA,NA,NA,NA,NA
"Y38",12,0.870588235294118,"B29",2017,278600,78600,"Broadleaved, Mixed And Yew Woodland","Lowland Mixed Deciduous Woodland","W10c:36.14",5.7,5.6,4.7,4.3,3.4,2.6,1.1,"W10c","W10","W",0,0,23,20,21,NA,NA,NA,NA,NA,NA
"Y39a",23,0.923029174425822,"B29",2017,278398,78943,"Broadleaved, Mixed And Yew Woodland","Lowland Mixed Deciduous Woodland","W7:31.12",5.3,6.3,5.2,5,2.69,3.25,1.78,"W7","W7","W",14.875,5.36747450936617,25,6,NA,NA,NA,NA,NA,NA,NA
"Y41",23,0.931374119154388,"B29",2017,278319,78459,"Broadleaved, Mixed And Yew Woodland","Lowland Mixed Deciduous Woodland","W10:28.17",5.9,7.2,4.9,4.2,2.59,3.06,2.06,"W10","W10","W",11.76,6.78404992119997,24,7,8,NA,NA,NA,NA,NA,NA
"Y42",14,0.846782431052094,"B29",2017,278470,78321,"Broadleaved, Mixed And Yew Woodland","Lowland Mixed Deciduous Woodland","H2c:50.16",6.2,5.5,3.1,3,4.19,1.81,1,"H2c","H2","H",16,20.4185373292669,25,0,NA,NA,NA,NA,NA,NA,NA
"Y43",17,0.871980250396755,"B29",2017,278565,78784,"Broadleaved, Mixed And Yew Woodland","Lowland Mixed Deciduous Woodland","W10c:23.05",6.5,6.6,3.8,3.8,3.06,2.85,2.29,"W10c","W10","W",4.52,3.88501394248892,25,2,2,NA,NA,NA,NA,NA,NA
"Bog1a",13,0.842124542124542,"B29",2017,278759,78911,"Bogs","Lowland Heathland","M16a:57.33",7.3,8,2.8,1.8,2.81,3.19,1,"M16a","M16","M",56.68,7.86193360440038,25,0,NA,NA,NA,NA,NA,NA,NA
"Bog2",14,0.836935704514364,"B29",2017,278740,78891,"Bogs","Lowland Heathland","M17a:41.01",7.2,8.1,3,2,3.02,2.98,1,"M17a","M17","M",46.08,8.08249136508457,25,0,NA,NA,NA,NA,NA,NA,NA
"WetWoodland1",19,0.896082178690874,"B29",2017,278685,78849,"Broadleaved, Mixed And Yew Woodland","Wet Woodland","W10c:38.17",6,7.9,5.6,5.5,2.79,3.14,1.14,"W10c","W10","W",21.32,8.50842719504218,25,0,4,NA,NA,NA,NA,NA,NA
"WetWoodland2",19,0.923378474697078,"B29",2017,NA,NA,"Broadleaved, Mixed And Yew Woodland","Wet Woodland","W10c:38.13",5.8,6.6,5,4.9,3.14,2.86,1.5,"W10c","W10","W",10.4545454545455,6.67423812471915,24,2,NA,NA,NA,NA,NA,NA,NA
"WetWoodland3",12,0.874277122368725,"B29",2017,278529,78718,"Broadleaved, Mixed And Yew Woodland","Wet Woodland","W10c:36.70",6.9,7.7,4.4,3.1,2.85,2.94,1.56,"W10c","W10","W",37.6,11.6476034731041,10,18,NA,NA,NA,NA,NA,NA,NA
"1",11,0.869889937106918,"B47",2015,315992,510966,"Montane","Mountain heath and willow scrub","U5a:67.20",6.9,5.6,3.5,2.2,1.19,4.76,1.15,"U5a","U5","U",12.12,2.87691964897643,0,0,NA,NA,NA,NA,NA,NA,NA
"2",12,0.88929963704799,"B47",2015,315173,510857,"Montane","Mountain heath and willow scrub","U5a:64.04",6.9,5.6,3.6,2.2,1.19,4.74,1.16,"U5a","U5","U",7,3.05505046330389,0,4,NA,NA,NA,NA,NA,NA,NA
"3",13,0.869333333333333,"B47",2015,314523,510650,"Montane","Mountain heath and willow scrub","U10a:45.49",6.9,5.1,3.8,2.1,1.09,4.91,1,"U10a","U10","U",3.84,0.943398113205661,0,3,NA,NA,NA,NA,NA,NA,NA
"4",12,0.890706657577823,"B47",2015,315554,511039,"Montane","Mountain heath and willow scrub","U10a:56.55",6.8,5.2,3.6,2.1,1.25,4.75,1.04,"U10a","U10","U",6.6,2.44948974278318,0,0,NA,NA,NA,NA,NA,NA,NA
"5",12,0.858894286375202,"B47",2015,315407,510814,"Montane","Mountain heath and willow scrub","U10a:57.14",6.9,5.2,3.8,2.1,1.15,4.85,1.03,"U10a","U10","U",4.08,1.41185457230316,0,16,NA,NA,NA,NA,NA,NA,NA
"16",16,0.918454935622318,"B47",2015,314471,512124,"Montane","Mountain heath and willow scrub","U5d:57.55",7,6.5,3,2,1.4,4.6,1.03,"U5d","U5","U",13.4,2.48327740429189,25,0,NA,NA,NA,NA,NA,NA,NA
"17",16,0.901133391455972,"B47",2015,314979,511845,"Montane","Mountain heath and willow scrub","U5a:58.73",6.5,5.4,3,2.3,1.69,4.29,1.05,"U5a","U5","U",8.12,3.71169323445064,25,9,NA,NA,NA,NA,NA,NA,NA
"18",17,0.899970938680616,"B47",2015,314394,512174,"Montane","Mountain heath and willow scrub","U5a:58.91",6.9,5.9,2.5,2.1,2.39,3.61,1.05,"U5a","U5","U",18,3.87298334620742,0,2,NA,NA,NA,NA,NA,NA,NA
"19",18,0.928472542685741,"B47",2015,313782,511721,"Montane","Mountain heath and willow scrub","U5a:61.58",7.3,6.8,2.9,2,1.36,4.53,1.3,"U5a","U5","U",13.08,4.11217703899042,0,0,NA,NA,NA,NA,NA,NA,NA
"20",17,0.923353839143313,"B47",2015,313958,511299,"Montane","Mountain heath and willow scrub","U5a:62.06",6.9,5.9,3.5,2.1,1.26,4.67,1.22,"U5a","U5","U",10.36,2.9280255007997,0,4,NA,NA,NA,NA,NA,NA,NA
"32",17,0.895448486002666,"B47",2015,315444,512056,"Montane","Mountain heath and willow scrub","U5a:59.23",6.6,5.3,3.2,2.2,1.57,4.42,1.03,"U5a","U5","U",12.2,5.62731433871138,0,10,NA,NA,NA,NA,NA,NA,NA
"34",17,0.92283185840708,"B47",2015,314962,511260,"Montane","Mountain heath and willow scrub","U6a:48.75",7,6.2,3.2,2.2,1.37,4.58,1.16,"U6a","U6","U",12.68,3.9970822691892,25,0,NA,NA,NA,NA,NA,NA,NA
"35",17,0.909672964660097,"B47",2015,315227,511427,"Montane","Mountain heath and willow scrub","U5a:63.49",6.8,5.3,3.6,2.2,1.35,4.6,1.16,"U5a","U5","U",8.68,3.19791598805639,25,3,NA,NA,NA,NA,NA,NA,NA
"42",17,0.895646988670245,"B47",2015,313947,511203,"Montane","Mountain heath and willow scrub","H18c:51.97",6.6,5.2,3.2,2.4,1.43,4.54,1.1,"H18c","H18","H",7.04,4.09756024970958,0,9,NA,NA,NA,NA,NA,NA,NA
"44",17,0.913700107874865,"B47",2015,315423,512134,"Montane","Mountain heath and willow scrub","U5a:57.10",6.8,5.5,3.1,2.1,1.49,4.51,1.02,"U5a","U5","U",8.24,2.98998327754521,0,3,NA,NA,NA,NA,NA,NA,NA
"46",15,0.883711060181648,"B47",2015,316089,510729,"Montane","Mountain heath and willow scrub","U5a:62.35",6.7,5.5,3.4,2.2,1.38,4.6,1.05,"U5a","U5","U",2.96,4.08737894825849,0,19,NA,NA,NA,NA,NA,NA,NA
"47",17,0.912954429083461,"B47",2015,315857,510184,"Montane","Mountain heath and willow scrub","U5a:62.05",7,5.9,3.4,2.1,1.22,4.77,1.05,"U5a","U5","U",10.36,4.37683294936723,25,3,NA,NA,NA,NA,NA,NA,NA
"48",20,0.923107236096744,"B47",2015,316090,510140,"Montane","Mountain heath and willow scrub","U5a:60.77",6.7,6.1,3,2.1,1.48,4.51,1.07,"U5a","U5","U",10.88,5.36438875051638,0,5,NA,NA,NA,NA,NA,NA,NA
"49",13,0.910423390924625,"B47",2015,314855,510709,NA,NA,"U10a:56.75",6.5,5.7,3,2.1,1.84,4.16,1.05,"U10a","U10","U",8.56,3.53647658929996,0,6,NA,NA,NA,NA,NA,NA,NA
"50",16,0.901960784313726,"B47",2015,315857,509937,"Montane","Mountain heath and willow scrub","U5a:60.74",7,5.7,3.4,2,1.11,4.88,1.03,"U5a","U5","U",8.68,2.26789182575654,0,0,NA,NA,NA,NA,NA,NA,NA
"61",15,0.893829864914202,"B47",2015,315410,510130,"Montane","Mountain heath and willow scrub","U5a:63.59",6.9,5.5,3.7,2.4,1.35,4.41,1.52,"U5a","U5","U",7.32,3.86996985345709,0,6,NA,NA,NA,NA,NA,NA,NA
"62",19,0.903051040775592,"B47",2015,315165,510350,"Montane","Mountain heath and willow scrub","U5a:63.95",6.9,5.3,3.8,2.3,1.3,4.52,1.41,"U5a","U5","U",5.96,3.38476980999693,0,7,NA,NA,NA,NA,NA,NA,NA
"63",15,0.907580891635107,"B47",2015,314964,510030,"Montane","Mountain heath and willow scrub","U5a:58.65",6.9,5.9,3.7,2.4,1.43,4.24,1.59,"U5a","U5","U",11.52,8.28210923215417,6,0,NA,NA,NA,NA,NA,NA,NA
"64",22,0.932878590766851,"B47",2015,315219,510467,"Montane","Mountain heath and willow scrub","U5a:53.65",7.1,6.5,3,2.1,1.69,4.05,1.57,"U5a","U5","U",17.52,4.29262934186807,0,0,NA,NA,NA,NA,NA,NA,NA
"65",15,0.88961686369463,"B47",2015,315644,510346,"Montane","Mountain heath and willow scrub","U5a:60.50",6.9,5.4,3.7,2.2,1.21,4.68,1.23,"U5a","U5","U",4.04,5.06194955855284,0,14,NA,NA,NA,NA,NA,NA,NA
"76",10,0.848257006151743,"B47",2015,315606,511357,"Montane","Mountain heath and willow scrub","U10b:49.95",6.7,5.3,3.5,2.1,1.47,4.53,1,"U10b","U10","U",4.4,0.577350269189626,0,5,NA,NA,NA,NA,NA,NA,NA
"77",11,0.849019607843137,"B47",2015,315793,511417,"Montane","Mountain heath and willow scrub","U10a:48.19",6.9,5.1,3.8,2.1,1.17,4.83,1,"U10a","U10","U",3.2,0.816496580927726,0,20,NA,NA,NA,NA,NA,NA,NA
"78",7,0.785225718194254,"B47",2015,315705,511451,"Montane","Mountain heath and willow scrub","U9b:37.31",6.9,5.1,3.8,2,1.15,4.85,1,"U9b","U9","U",5.72,4.20832508250016,0,25,NA,NA,NA,NA,NA,NA,NA
"79",11,0.869565217391304,"B47",2015,315576,511258,"Montane","Mountain heath and willow scrub","U10b:48.70",6.8,5.5,3.4,2.1,1.4,4.6,1.01,"U10b","U10","U",7.88,3.71169323445064,0,0,NA,NA,NA,NA,NA,NA,NA
"80",12,0.878814356768383,"B47",2015,315487,511202,"Montane","Mountain heath and willow scrub","U10b:55.22",6.9,5.1,3.8,2.1,1.13,4.87,1,"U10b","U10","U",5.44,0.820568908339411,0,4,NA,NA,NA,NA,NA,NA,NA
"84",12,0.874988814317673,"B47",2015,315221,511198,NA,NA,"U10a:53.64",6.9,5.2,3.7,2.1,1.22,4.78,1.03,"U10a","U10","U",4.88,1.26885775404495,0,3,NA,NA,NA,NA,NA,NA,NA
"85",15,0.888831168831169,"B47",2015,314790,510914,"Montane","Mountain heath and willow scrub","U10a:53.48",6.9,5.2,3.7,2,1.14,4.86,1.04,"U10a","U10","U",4.72,1.24230967690562,0,3,NA,NA,NA,NA,NA,NA,NA
"86",11,0.861260819859546,"B47",2015,315174,511101,"Montane","Mountain heath and willow scrub","H18c:55.00",6.8,5.2,3.7,2.1,1.21,4.79,1.05,"H18c","H18","H",4.4,1.5545631755148,0,0,NA,NA,NA,NA,NA,NA,NA
"87",11,0.848806366047745,"B47",2015,314381,510732,"Montane","Mountain heath and willow scrub","U10b:46.64",6.9,5.1,3.8,2.1,1.1,4.9,1,"U10b","U10","U",0.36,1.25432584814845,0,25,NA,NA,NA,NA,NA,NA,NA
"88",14,0.873807149978636,"B47",2015,313993,511005,"Montane","Mountain heath and willow scrub","U5a:50.98",6.8,5.3,3.7,2.1,1.15,4.85,1.04,"U5a","U5","U",3.2,3.05505046330389,0,13,NA,NA,NA,NA,NA,NA,NA
"100",16,0.89009426904085,"B47",2015,316031,511207,"Montane","Mountain heath and willow scrub","U10a:53.75",6.9,5.2,3.7,2.1,1.22,4.78,1.02,"U10a","U10","U",6.16,2.49466096560902,0,16,NA,NA,NA,NA,NA,NA,NA
"101",11,0.850634802091113,"B47",2015,316048,511326,"Montane","Mountain heath and willow scrub","U10b:46.25",6.9,5.1,3.7,2.1,1.13,4.87,1,"U10b","U10","U",1.88,1.81015653098473,0,18,NA,NA,NA,NA,NA,NA,NA
"102",14,0.853374594753905,"B47",2015,315715,511340,"Montane","Mountain heath and willow scrub","H18c:49.18",6.9,5.1,3.8,2.1,1.13,4.87,1,"H18c","H18","H",5.48,4.05298244095218,0,18,NA,NA,NA,NA,NA,NA,NA
"103",10,0.853925353925354,"B47",2015,316004,511334,"Montane","Mountain heath and willow scrub","U10a:53.44",6.7,5.2,3.5,2.1,1.38,4.62,1.02,"U10a","U10","U",4.08,2.03960780543711,0,3,NA,NA,NA,NA,NA,NA,NA
"104",13,0.894947121034078,"B47",2015,315804,511350,"Montane","Mountain heath and willow scrub","U10b:59.02",6.9,5.1,3.7,2.1,1.13,4.88,1.01,"U10b","U10","U",5.76,1.66533279957291,0,3,NA,NA,NA,NA,NA,NA,NA
"109",14,0.894924623115578,"B47",2015,313484,511067,"Montane","Mountain heath and willow scrub","U10a:58.03",6.8,5.1,3.6,2.1,1.2,4.8,1.01,"U10a","U10","U",5.68,0.556776436283002,0,0,NA,NA,NA,NA,NA,NA,NA
"110",17,0.919475198751402,"B47",2015,313589,511127,"Montane","Mountain heath and willow scrub","U7b:58.07",6.9,5.8,3.1,2,1.44,4.56,1.03,"U7b","U7","U",10.6,4.33012701892219,0,0,NA,NA,NA,NA,NA,NA,NA
"111",17,0.902868673647469,"B47",2015,313526,511111,"Montane","Mountain heath and willow scrub","H18c:61.43",6.8,5.3,3.6,2.1,1.22,4.78,1.01,"H18c","H18","H",8.48,3.94883949196892,0,0,NA,NA,NA,NA,NA,NA,NA
"116",13,0.863829787234043,"B47",2015,314545,510817,"Montane","Mountain heath and willow scrub","U10a:47.58",6.9,5.1,3.7,2.1,1.13,4.87,1,"U10a","U10","U",4,2.91547594742265,0,13,NA,NA,NA,NA,NA,NA,NA
"117",6,0.585695006747638,"B47",2015,314461,510798,"Montane","Mountain heath and willow scrub","U10b:28.20",7,6,2,2,NA,NA,NA,"U10b","U10","U",0,0,0,25,NA,NA,NA,NA,NA,NA,NA
"118",4,0.698316498316498,"B47",2015,314285,510743,"Montane","Mountain heath and willow scrub","U8b:29.48",7,5,4,2,1,5,1,"U8b","U8","U",0,0,0,25,NA,NA,NA,NA,NA,NA,NA
"125",16,0.87607826635809,"B47",2015,315913,511268,"Montane","Mountain heath and willow scrub","U10a:54.01",6.8,5.1,3.7,2.1,1.18,4.82,1,"U10a","U10","U",0.44,1.22746350930146,0,25,NA,NA,NA,NA,NA,NA,NA
"126",9,0.874549497737904,"B47",2015,315601,511301,"Montane","Mountain heath and willow scrub","U10a:52.92",6.7,5.3,3.5,2.1,1.46,4.54,1.02,"U10a","U10","U",5.4,1,0,0,NA,NA,NA,NA,NA,NA,NA
"127",9,0.875530804037591,"B47",2015,315497,511170,"Montane","Mountain heath and willow scrub","U8b:53.64",6.9,5.1,3.8,2.1,1.12,4.88,1,"U8b","U8","U",5.48,1.04562580942387,0,2,NA,NA,NA,NA,NA,NA,NA
"128",11,0.876619140807008,"B47",2015,315505,511024,"Montane","Mountain heath and willow scrub","H19a:57.56",6.8,5.2,3.7,2.1,1.21,4.79,1.03,"H19a","H19","H",4.84,2.40970260959038,0,6,NA,NA,NA,NA,NA,NA,NA
"1",14,0.882142857142857,"B47",2019,315992,510966,"Acid Grassland",NA,"U5a:62.13",6.7,5.7,3.7,2.7,1.7,4.1,1.86,"U5a","U5","U",7.48,1.26227308191743,25,2,NA,NA,NA,NA,NA,NA,NA
"2",29,0.939467154237952,"B47",2019,315173,510857,"Montane Habitats","Mountain heaths and willow scrub","U5b:54.90",6.7,5.6,3.7,2.7,1.67,4.25,1.62,"U5b","U5","U",5.76,1.98494332412792,25,13,NA,NA,NA,NA,NA,NA,NA
"3",24,0.931589901366392,"B47",2019,314523,510650,"Montane Habitats","Mountain heaths and willow scrub","H19a:49.65",6.6,5.2,3.1,2.3,1.56,4.44,1.01,"H19a","H19","H",2.26,0.597215762238964,25,5,NA,NA,NA,NA,NA,NA,NA
"4",21,0.928772530693989,"B47",2019,315554,511039,"Montane Habitats","Mountain heaths and willow scrub","U10a:51.71",6.7,5.5,4.1,3.3,2,3.58,1.79,"U10a","U10","U",3.4,1.08012344973464,25,3,NA,NA,NA,NA,NA,NA,NA
"16",29,0.944803589091423,"B47",2019,314471,512124,"Acid Grassland","Upland heathland","U5b:65.04",7.1,6.6,3.4,2.4,1.73,4.27,1.65,"U5b","U5","U",6.44,1.50222057856583,25,0,NA,NA,NA,NA,NA,NA,NA
"18",19,0.924967476530361,"B47",2019,314394,512174,"Dwarf Shrub Heath","Upland heathland","H12a:61.78",6.9,6.2,2.4,2.1,2.44,3.56,1.19,"H12a","H12","H",13.44,4.37873649964614,25,0,NA,NA,NA,NA,NA,NA,NA
"19",30,0.949119407934929,"B47",2019,313782,511721,"Montane Habitats","Mountain heaths and willow scrub","U5:60.61",6.7,5.7,4.6,3.7,2.32,3.13,2.2,"U5","U5","U",8.96,3.29747378053766,23,0,NA,NA,NA,NA,NA,NA,NA
"20",18,0.912777672299222,"B47",2019,313958,511299,"Montane Habitats","Mountain heaths and willow scrub","U5a:66.38",6.7,5.6,3.7,2.7,1.83,4.08,1.85,"U5a","U5","U",7.8,1.77951304200522,25,4,NA,NA,NA,NA,NA,NA,NA
"32",32,0.936610343061956,"B47",2019,315444,512056,"Montane Habitats","Mountain heaths and willow scrub","U5a:57.67",6.7,5.3,3.7,2.5,1.75,4.17,1.42,"U5a","U5","U",6.16,2.82370914460632,23,20,NA,NA,NA,NA,NA,NA,NA
"34",30,0.956521141663575,"B47",2019,314962,511260,"Fen Marsh And Swamp","Upland flushes, fens and swamps","U5b:55.01",7.3,7.2,3.2,2.2,1.86,4.11,1.56,"U5b","U5","U",7.12,1.78699002049069,22,0,NA,NA,NA,NA,NA,NA,NA
"35",23,0.934541134541135,"B47",2019,315227,511427,"Montane Habitats","Mountain heaths and willow scrub","U5a:65.68",6.2,5.5,3.3,3.1,2.69,3.27,2.19,"U5a","U5","U",5.84,2.52784493195291,20,3,NA,NA,NA,NA,NA,NA,NA
"42",19,0.894783377541998,"B47",2019,313947,511203,"Montane Habitats","Mountain heaths and willow scrub","U6:43.20",6.4,5.1,3.9,3.1,2.11,3.89,2.05,"U6","U6","U",2.76,2.5703436864876,23,19,NA,NA,NA,NA,NA,NA,NA
"44",31,0.946270857985629,"B47",2019,315423,512134,"Montane Habitats","Mountain heaths and willow scrub","U7c:53.85",6.9,5.7,3.8,2.6,1.7,3.99,1.44,"U7c","U7","U",8.08,1.89120772700057,24,4,NA,NA,NA,NA,NA,NA,NA
"46",17,0.908404519151281,"B47",2019,316089,510729,"Montane Habitats","Mountain heaths and willow scrub","U5a:56.89",6.5,5.7,3.3,2.6,1.8,4.14,1.51,"U5a","U5","U",5.2,3.58236421003411,19,25,NA,NA,NA,NA,NA,NA,NA
"47",24,0.9411946574326,"B47",2019,315857,510184,"Montane Habitats","Mountain heaths and willow scrub","U5:61.71",7.2,6.4,3.5,2.3,1.49,4.38,1.55,"U5","U5","U",8.32,2.17408984788271,25,3,NA,NA,NA,NA,NA,NA,NA
"48",29,0.952570093457944,"B47",2019,316090,510140,"Montane Habitats","Mountain heaths and willow scrub","U5a:56.64",6.9,6.5,3,2.2,1.39,4.56,1.2,"U5a","U5","U",7.84,3.36253872344493,5,5,NA,NA,NA,NA,NA,NA,NA
"49",18,0.927783426537875,"B47",2019,314855,510709,"Montane Habitats","Mountain heaths and willow scrub","U5a:53.53",6.6,5.6,3.5,2.5,1.7,4.3,1.45,"U5a","U5","U",4.8,1.11803398874989,25,9,NA,NA,NA,NA,NA,NA,NA
"50",22,0.924187577128754,"B47",2019,315857,509937,"Fen Marsh And Swamp","Upland flushes, fens and swamps","U5a:65.08",7,6.2,3.3,2,1.06,4.93,1.03,"U5a","U5","U",5.8,1.68325082306035,25,0,NA,NA,NA,NA,NA,NA,NA
"61",16,0.915843973498311,"B47",2019,315410,510130,"Montane Habitats","Upland heathland","U5a:52.59",6.6,5.7,3.6,2.8,1.65,4.31,1.68,"U5a","U5","U",5.32,2.51197133741609,21,17,NA,NA,NA,NA,NA,NA,NA
"62",24,0.93596812749004,"B47",2019,315165,510350,"Montane Habitats","Mountain heaths and willow scrub","U5a:50.81",6.7,5.8,3.8,2.8,1.88,3.8,2.16,"U5a","U5","U",4.56,2.85890421898554,23,14,NA,NA,NA,NA,NA,NA,NA
"63",22,0.932149805447471,"B47",2019,314964,510030,"Dwarf Shrub Heath","Upland heathland","U4d:58.66",6.5,5.8,4,3.3,2.33,3.44,2.35,"U4d","U4","U",6.2,2.27303028283098,18,5,NA,NA,NA,NA,NA,NA,NA
"64",38,0.95109634551495,"B47",2019,315219,510467,"Montane Habitats",NA,"U5b:56.40",7.5,7.3,3,2.1,2.5,3.21,1.36,"U5b","U5","U",8.84,3.77138347736389,24,1,NA,NA,NA,NA,NA,NA,NA
"65",15,0.899483267716535,"B47",2019,315644,510346,"Montane Habitats","Mountain heaths and willow scrub","U5a:66.17",6.5,5.7,3.4,2.7,1.53,4.46,1.48,"U5a","U5","U",3.95454545454545,3.65770254104785,16,16,NA,NA,NA,NA,NA,NA,NA
"76",12,0.864212770732802,"B47",2019,315606,511357,"Montane Habitats","Mountain heaths and willow scrub","U10a:48.25",6.8,5.2,3.7,2.1,1.33,4.67,1.04,"U10a","U10","U",2.74,0.778888096369862,25,1,NA,NA,NA,NA,NA,NA,NA
"77",15,0.903458297006684,"B47",2019,315793,511417,"Montane Habitats","Mountain heaths and willow scrub","U10a:49.47",6.5,5.4,3.3,2.3,1.41,4.59,1.03,"U10a","U10","U",1.62,0.564210362660359,0,25,NA,NA,NA,NA,NA,NA,NA
"78",11,0.827275874004846,"B47",2019,315705,511451,"Montane Habitats","Mountain heaths and willow scrub","H18c:47.70",6.6,5.3,3.5,2.3,1.35,4.65,1.06,"H18c","H18","H",3.3,2.22673153598123,17,25,NA,NA,NA,NA,NA,NA,NA
"79",14,0.90441493955095,"B47",2019,315576,511258,"Montane Habitats","Mountain heaths and willow scrub","U10a:49.55",6.9,5.5,3.4,2.1,1.35,4.65,1.03,"U10a","U10","U",4.6,3.16227766016838,25,6,NA,NA,NA,NA,NA,NA,NA
"80",15,0.890652268760908,"B47",2019,315487,511202,"Montane Habitats","Mountain heaths and willow scrub","U10a:49.45",6.7,5.2,3.6,2.2,1.32,4.68,1.07,"U10a","U10","U",3.84,0.850490054811538,24,5,NA,NA,NA,NA,NA,NA,NA
"85",20,0.924344686862345,"B47",2019,314790,510914,"Montane Habitats","Mountain heaths and willow scrub","U10a:56.10",6.8,5.2,3.3,2.2,1.36,4.64,1.17,"U10a","U10","U",3.16,1.1060440015358,25,1,NA,NA,NA,NA,NA,NA,NA
"86",22,0.911278195488722,"B47",2019,315174,511101,"Montane Habitats","Mountain heaths and willow scrub","U10a:53.44",6.9,5.7,3.3,2.3,1.75,4.23,1.6,"U10a","U10","U",4.12,1.05356537528527,25,0,NA,NA,NA,NA,NA,NA,NA
"87",19,0.916326530612245,"B47",2019,314381,510732,"Montane Habitats","Mountain heaths and willow scrub","U10b:36.47",6.6,5.4,3.2,2,1.76,4.24,1,"U10b","U10","U",1.68,1.51986841535707,23,25,NA,NA,NA,NA,NA,NA,NA
"88",23,0.926817042606516,"B47",2019,313993,511005,"Montane Habitats","Mountain heaths and willow scrub","U10a:41.16",6.8,5.2,3.8,2.1,1.28,4.72,1.18,"U10a","U10","U",5.2,2.08166599946613,23,19,NA,NA,NA,NA,NA,NA,NA
"100",17,0.905860805860806,"B47",2019,316031,511207,"Montane Habitats",NA,"U10a:45.33",6.9,5.2,3.7,2.1,1.25,4.75,1.1,"U10a","U10","U",4.2,0.912870929175277,25,17,NA,NA,NA,NA,NA,NA,NA
"101",15,0.889244302279088,"B47",2019,316048,511326,"Montane Habitats","Mountain heaths and willow scrub","U10a:48.35",6.5,5,3.9,3,2,4,1.95,"U10a","U10","U",2.52,1.50332963783729,0,19,NA,NA,NA,NA,NA,NA,NA
"102",21,0.903266219239374,"B47",2019,315715,511340,"Montane Habitats","Mountain heaths and willow scrub","U10a:48.56",6.6,5.3,3.5,2.3,1.13,4.87,1.03,"U10a","U10","U",3.48,2.12367605815953,23,23,NA,NA,NA,NA,NA,NA,NA
"103",14,0.878752052545156,"B47",2019,316004,511334,"Montane Habitats","Mountain heaths and willow scrub","U10a:52.08",6.3,5.3,3.3,2.8,2.28,3.72,1.77,"U10a","U10","U",2.68,0.852447456836295,25,13,NA,NA,NA,NA,NA,NA,NA
"104",16,0.903554525258379,"B47",2019,315804,511350,"Montane Habitats","Mountain heaths and willow scrub","U10a:59.52",6.9,5,3.5,2.1,1.19,4.81,1.1,"U10a","U10","U",3.52,1.12249721603218,21,5,NA,NA,NA,NA,NA,NA,NA
"109",14,0.89915698336751,"B47",2019,313484,511067,"Montane Habitats","Mountain heaths and willow scrub","U10a:53.37",6.8,5.2,3.6,2.2,1.3,4.7,1.16,"U10a","U10","U",2.88,0.665832811847939,25,0,NA,NA,NA,NA,NA,NA,NA
