All_species,Added_species
Coronilla scorpioides,
Coronilla seedling,
Coronilla sp.,
Coronilla valentina,
Coronilla valentina subsp. glauca,
Coronilla varia,
Coronopus didymus,
Coronopus seedling,
Coronopus sp.,
Coronopus squamatus,
Correa backhouseana,
Correa seedling,
Correa sp.,
Corrigiola litoralis,
Corrigiola seedling,
Corrigiola sp.,
Corrigiola telephiifolia,
Cortaderia richardii,
Cortaderia seedling,
Cortaderia selloana,
Cortaderia sp.,
Corydalis bulbosa,
Corydalis capnoides,
Corydalis cava,
Corydalis cheilanthifolia,
Corydalis lutea,
Corydalis ophiocarpa,
Corydalis seedling,
Corydalis sempervirens,
Corydalis solida,
Corydalis sp.,
Corylus avellana,
Corylus avellana (c),
Corylus avellana (g),
Corylus avellana (s),
Corylus avellana x maxima,
Corylus colurna,
Corylus maxima,
Corylus seedling,
Corylus sp.,
Corynephorus canescens,
Corynephorus seedling,
Corynephorus sp.,
Coscinodon cribrosus,
Coscinodon seedling,
Coscinodon sp.,
Cosmos bipinnatus,
Cosmos seedling,
Cosmos sp.,
Cotinus coggygria,
Cotinus seedling,
Cotinus sp.,
Cotoneaster acuminatus,
Cotoneaster adpressus,
Cotoneaster affinis,
Cotoneaster amoenus,
Cotoneaster apiculatus,
Cotoneaster ascendens,
Cotoneaster astrophoros,
Cotoneaster atropurpureus,
Cotoneaster bacillaris,
Cotoneaster boisianus,
Cotoneaster bradyi,
Cotoneaster bullatus,
Cotoneaster buxifolius,
Cotoneaster calocarpus,
Cotoneaster cambricus,
Cotoneaster cashmiriensis,
Cotoneaster cinerascens,
Cotoneaster cochleatus,
Cotoneaster congestus,
Cotoneaster conspicuus,
Cotoneaster cooperi,
Cotoneaster dammeri,
Cotoneaster dammeri x conspicuus = C. x suecicus,
Cotoneaster dielsianus,
Cotoneaster divaricatus,
Cotoneaster ellipticus,
Cotoneaster fangianus,
Cotoneaster foveolatus,
Cotoneaster franchetii,
Cotoneaster frigidus,
Cotoneaster frigidus x salicifolius = C. x watereri,
Cotoneaster glabratus,
Cotoneaster glaucophyllus,
Cotoneaster henryanus,
Cotoneaster hissaricus,
Cotoneaster hjelmqvistii,
Cotoneaster hodjingensis,
Cotoneaster horizantalis,
Cotoneaster horizontalis,
Cotoneaster hsingshangensis,
Cotoneaster hummelii,
Cotoneaster hupehensis,
Cotoneaster hurusawaianus,
Cotoneaster hylmoei,
Cotoneaster ignescens,
Cotoneaster ignotus,
Cotoneaster induratus,
Cotoneaster insculptus,
Cotoneaster integerrimus,
Cotoneaster integrifolius,
Cotoneaster lacteus,
Cotoneaster laetevirens,
Cotoneaster lidjiangensis,
Cotoneaster lucidus,
Cotoneaster mairei,
Cotoneaster marginatus,
Cotoneaster microphyllus,
Cotoneaster monopyrenus,
Cotoneaster moupinensis,
Cotoneaster mucronatus,
Cotoneaster nanshan,
Cotoneaster newryensis,
Cotoneaster nitens,
Cotoneaster nitidus,
Cotoneaster obscurus,
Cotoneaster obtusus,
Cotoneaster pannosus,
Cotoneaster perpusillus,
Cotoneaster prostratus,
Cotoneaster pseudoambiguus,
Cotoneaster radicans,
Cotoneaster rehderi,
Cotoneaster rotundifolius,
Cotoneaster salicifolius,
Cotoneaster salicifolius x dammeri = C. 'Hybridus Pendulus',
Cotoneaster sanguineus,
Cotoneaster seedling,
Cotoneaster serotinus,
Cotoneaster shannanensis,
Cotoneaster sherriffii,
Cotoneaster silvestrei,
Cotoneaster simonsii,
Cotoneaster sp.,
Cotoneaster splendens,
Cotoneaster sternianus,
Cotoneaster tengyuehensis,
Cotoneaster thymifolius,
Cotoneaster tomentellus,
Cotoneaster transens,
Cotoneaster turbinatus,
Cotoneaster veitchii,
Cotoneaster vestitus,
Cotoneaster villosulus,
Cotoneaster vilmorinianus,
Cotoneaster wardii,
Cotoneaster zabelii,
Cotula anthemoides,
Cotula australis,
Cotula bipinnata,
Cotula coronopifolia,
Cotula dioica,
Cotula filifolia,
Cotula macroglossa,
Cotula pusilla,
Cotula seedling,
Cotula sororia,
Cotula sp.,
Cotula squalida,
Cotula turbinata,
Cotula villosa,
Cotula zeyheri,
County seedling,
County sp.,
Cousinia seedling,
Cousinia sp.,
Cousinia tenella,
Crambe cordifolia,
Crambe maritima,
Crambe orientalis,
Crambe seedling,
Crambe sp.,
Crassocephalum sarcobasis,
Crassocephalum seedling,
Crassocephalum sp.,
Crassula alata,
Crassula alata subsp. pharnaceoides,
Crassula aquatica,
Crassula campestris,
Crassula colorata,
Crassula decumbens,
Crassula helmsii,
Crassula intricata,
Crassula natans,
Crassula peduncularis,
Crassula pubescens,
Crassula pubescens subsp. radicans,
Crassula sarmentosa,
Crassula seedling,
Crassula setulosa,
Crassula sieberiana,
Crassula sp.,
Crassula thunbergiana,
Crassula tillaea,
Crassula vaillantii,
Crataegus coccinea,
Crataegus coccinioides,
Crataegus crus-galli,
Crataegus douglasii,
Crataegus elliptica,
Crataegus heterophylla,
Crataegus intricata,
Crataegus laevigata,
Crataegus laevigata x monogyna (s),
Crataegus mollis,
Crataegus monogyna,
Crataegus monogyna (c),
Crataegus monogyna (g),
Crataegus monogyna (s),
Crataegus monogyna x heterophylla,
Crataegus monogyna x laevigata = C. x media,
Crataegus nigra,
Crataegus orientalis,
Crataegus persimilis,
Crataegus punctata,
Crataegus sanguinea,
Crataegus seedling,
Crataegus sp.,
Crataegus submollis,
Crataegus succulenta,
Crataegus tanacetifolia,
Crataegus viridis,
Crataegus x lavallei,
Cratoneuron commutatum,
Cratoneuron commutatum falcatum,
Cratoneuron decipiens,
Cratoneuron filicinum,
Cratoneuron seedling,
Cratoneuron sp.,
Crepis alpina,
Crepis aurea,
Crepis biennis,
Crepis capillaris,
Crepis foetida,
Crepis foetida subsp. commutata,
Crepis foetida subsp. foetida,
Crepis foetida subsp. rhoeadifolia,
Crepis mollis,
Crepis nicaeensis,
Crepis paludosa,
Crepis praemorsa,
Crepis pulchra,
Crepis rubra,
Crepis sancta,
Crepis seedling,
Crepis setosa,
Crepis sp.,
Crepis suberostris,
Crepis tectorum,
Crepis vesicaria,
Crepis vesicaria subsp. taraxacifolia,
Crepis zacintha,
Crinum bulbispermum x moorei = C. x powellii,
Crinum seedling,
Crinum sp.,
Crithmum maritimum,
Crithmum seedling,
Crithmum sp.,
Crithopsis delileana,
Crithopsis seedling,
Crithopsis sp.,
Crocosmia masoniorum,
Crocosmia masoniorum x pottsii x aurea,
Crocosmia paniculata,
Crocosmia pottsii,
Crocosmia pottsii x aurea = C. x crocosmiiflora,
Crocosmia seedling,
Crocosmia sp.,
Crocus ancyrensis,
Crocus angustifolius x flavus = C. x stellaris,
Crocus biflorus,
Crocus biflorus subsp. adamii,
Crocus biflorus subsp. biflorus,
Crocus chrysanthus,
Crocus chrysanthus x biflorus,
Crocus kotschyanus,
Crocus longiflorus,
Crocus nudiflorus,
Crocus pulchellus,
Crocus sativus,
Crocus seedling,
Crocus serotinus,
Crocus serotinus subsp. salzmannii,
Crocus sieberi,
Crocus sp.,
Crocus speciosus,
Crocus tommasinianus,
Crocus vernus,
Crocus vernus subsp. albiflorus,
Crocus vernus subsp. vernus,
Crocus vernus x tommasinianus,
Crocus versicolor,
Crucianella angustifolia,
Crucianella patula,
Crucianella seedling,
Crucianella sp.,
Cruciata articulata,
Cruciata laevipes,
Cruciata seedling,
Cruciata sp.,
Crupina crupinastrum,
Crupina seedling,
Crupina sp.,
Crupina vulgaris,
Cryphaea heteromalla,
Cryphaea lamyana,
Cryphaea seedling,
Cryphaea sp.,
Crypsis aculeata,
Crypsis schoenoides,
Crypsis seedling,
Crypsis sp.,
Cryptogramma crispa,
Cryptogramma seedling,
Cryptogramma sp.,
Cryptolechia carneolutea,
Cryptolechia seedling,
Cryptolechia sp.,
Cryptomeria japonica,
Cryptomeria seedling,
Cryptomeria sp.,
Cryptothallus mirabilis,
Cryptothallus seedling,
Cryptothallus sp.,
Ctenidium molluscum,
Ctenidium procerrimum,
Ctenidium seedling,
Ctenidium sp.,
Ctenopsis cynosuroides,
Ctenopsis seedling,
Ctenopsis sp.,
Cucubalus baccifer,
Cucubalus seedling,
Cucubalus sp.,
Cucumis melo,
Cucumis myriocarpus,
Cucumis sativus,
Cucumis seedling,
Cucumis sp.,
Cucurbita ficifolia,
Cucurbita maxima,
Cucurbita pepo,
Cucurbita seedling,
Cucurbita sp.,
Cuminum cyminum,
Cuminum seedling,
Cuminum sp.,
Cuphea llavea x procumbens = C. x purpurea,
Cuphea seedling,
Cuphea sp.,
Cupressus duclouxiana,
Cupressus goveniana,
Cupressus macrocarpa,
Cupressus macrocarpa x Xanthocyparis nootkatensis = X Cuprocyparis leylandii,
Cupressus seedling,
Cupressus sempervirens,
Cupressus sp.,
Cuscuta americana,
Cuscuta approximata,
Cuscuta australis,
Cuscuta campestris,
Cuscuta epilinum,
Cuscuta epithymum,
Cuscuta europaea,
Cuscuta planiflora,
Cuscuta seedling,
Cuscuta sp.,
Cuscuta suaveolens,
Cuspidia cernua,
Cuspidia seedling,
Cuspidia sp.,
Cutandia divaricata,
Cutandia maritima,
Cutandia memphitica,
Cutandia seedling,
Cutandia sp.,
Cyanopsis muricata,
Cyanopsis seedling,
Cyanopsis sp.,
Cyathea dealbata,
Cyathea seedling,
Cyathea sp.,
Cyclamen coum,
Cyclamen graecum,
Cyclamen hederifolium,
Cyclamen persicum,
Cyclamen repandum,
Cyclamen seedling,
Cyclamen sp.,
Cyclodictyon laetevirens,
Cyclodictyon seedling,
Cyclodictyon sp.,
Cycloloma atriplicifolium,
Cycloloma seedling,
Cycloloma sp.,
Cydonia oblonga,
Cydonia seedling,
Cydonia sp.,
Cymbalaria hepaticifolia,
Cymbalaria longipes,
Cymbalaria muralis,
Cymbalaria muralis subsp. muralis,
Cymbalaria muralis subsp. visianii,
Cymbalaria pallida,
Cymbalaria seedling,
Cymbalaria sp.,
Cynara cardunculus,
Cynara seedling,
Cynara sp.,
Cynodon aethiopicus,
Cynodon dactylon,
Cynodon incompletus,
Cynodon seedling,
Cynodon sp.,
Cynodon transvaalensis,
Cynodontium bruntonii,
Cynodontium jenneri,
Cynodontium polycarpon,
Cynodontium seedling,
Cynodontium sp.,
Cynodontium strumiferum,
Cynodontium tenellum,
Cynoglossum amabile,
Cynoglossum australe,
Cynoglossum germanicum,
Cynoglossum montanum,
Cynoglossum nervosum,
Cynoglossum officinale,
Cynoglossum seedling,
Cynoglossum sp.,
Cynoglottis barrelieri,
Cynoglottis seedling,
Cynoglottis sp.,
Cynosurus cristatus,
Cynosurus echinatus,
Cynosurus elegans,
Cynosurus seedling,
Cynosurus sp.,
Cyperus albostriatus,
Cyperus brevifolius,
Cyperus clarus,
Cyperus congestus,
Cyperus cyperinus,
Cyperus dactylotes,
Cyperus difformis,
Cyperus eragrostis,
Cyperus erectus,
Cyperus esculentus,
Cyperus flavus,
Cyperus fuscus,
Cyperus globulosus,
Cyperus gunnii,
Cyperus involucratus,
Cyperus longus,
Cyperus longus subsp. longus,
Cyperus longus subsp. tenuiflorus,
Cyperus luzulae,
Cyperus ovularis,
Cyperus reflexus,
Cyperus rigidifolius,
Cyperus rotundus,
Cyperus rutilans,
Cyperus seedling,
Cyperus sesquiflorus,
Cyperus sp.,
Cyperus sporobolus,
Cyperus tenuis,
Cyperus ustulatus,
Cyperus vaginatus,
Cyphelium inquinans,
Cyphelium marcianum,
Cyphelium notarisii,
Cyphelium seedling,
Cyphelium sessile,
Cyphelium sp.,
Cyphelium tigillare,
Cyphomandra crassicaulis,
Cyphomandra seedling,
Cyphomandra sp.,
Cypripedium calceolus,
Cypripedium seedling,
Cypripedium sp.,
Cyrtanthus elatus,
Cyrtanthus seedling,
Cyrtanthus sp.,
Cyrtomium falcatum,
Cyrtomium seedling,
Cyrtomium sp.,
Cystocoleus ebeneus,
Cystocoleus seedling,
Cystocoleus sp.,
Cystopteris alpina,
Cystopteris diaphana,
Cystopteris dickieana,
Cystopteris fragilis,
Cystopteris montana,
Cystopteris seedling,
Cystopteris sp.,
Cytisus battandieri,
Cytisus multiflorus,
Cytisus nigricans,
Cytisus scoparius,
Cytisus scoparius (g),
Cytisus scoparius (s),
Cytisus scoparius maritimus,
Cytisus scoparius subsp. maritimus,
Cytisus scoparius subsp. scoparius,
Cytisus seedling,
Cytisus sp.,
Cytisus striatus,
Daboecia cantabrica,
Daboecia seedling,
Daboecia sp.,
Dactylis glomerata,
Dactylis glomerata subsp. glomerata,
Dactylis glomerata subsp. hispanica,
Dactylis polygama,
Dactylis seedling,
Dactylis sp.,
Dactyloctenium aegyptium,
Dactyloctenium radulans,
Dactyloctenium seedling,
Dactyloctenium sp.,
Dactylorhiza ebudensis,
Dactylorhiza fuchsii,
Dactylorhiza fuchsii x incarnata = D. x kernerorum,
Dactylorhiza fuchsii x maculata = D. x transiens,
Dactylorhiza fuchsii x occidentalis,
Dactylorhiza fuchsii x praetermissa = D. x grandis,
Dactylorhiza fuchsii x purpurella = D. x venusta,
Dactylorhiza fuchsii x traunsteinerioides,
Dactylorhiza hybrids,
Dactylorhiza incarnata,
Dactylorhiza incarnata subsp. coccinea,
Dactylorhiza incarnata subsp. cruenta,
Dactylorhiza incarnata subsp. gemmana,
Dactylorhiza incarnata subsp. incarnata,
Dactylorhiza incarnata subsp. ochroleuca,
Dactylorhiza incarnata subsp. pulchella,
Dactylorhiza incarnata x occidentalis,
Dactylorhiza incarnata x praetermissa = D. x wintoni,
Dactylorhiza incarnata x purpurella = D. x latirella,
Dactylorhiza incarnata x traunsteinerioides,
Dactylorhiza lapponica,
Dactylorhiza maculata,
Dactylorhiza maculata ericetorum,
Dactylorhiza maculata subsp. ericetorum,
Dactylorhiza maculata x fuchsii,
Dactylorhiza maculata x incarnata = D. x carnea,
Dactylorhiza maculata x occidentalis = D. x dinglensis,
Dactylorhiza maculata x praetermissa = D. x hallii,
Dactylorhiza maculata x purpurella = D. x formosa,
Dactylorhiza maculata x traunsteinerioides,
Dactylorhiza majalis,
Dactylorhiza occidentalis,
Dactylorhiza praetermissa,
Dactylorhiza praetermissa x purpurella = D. x insignis,
Dactylorhiza praetermissa x traunsteinerioides,
Dactylorhiza purpurella,
Dactylorhiza purpurella x ebudensis,
Dactylorhiza purpurella x occidentalis,
Dactylorhiza seedling,
Dactylorhiza sp.,
Dactylorhiza traunsteineri,
Dactylorhiza traunsteinerioides,
Dactylorhiza x venusta,
Dahlia pinnata,
Dahlia seedling,
Dahlia sp.,
Dahlia x cultorum,
Daltonia seedling,
Daltonia sp.,
Daltonia splachnoides,
Damasonium alisma,
Damasonium seedling,
Damasonium sp.,
Danthonia decumbens,
Danthonia montevidensis,
Danthonia seedling,
Danthonia sp.,
Daphne laureola,
Daphne laureola (g),
Daphne laureola (s),
Daphne mezereum,
Daphne mezereum x laureola = D. x houtteana,
Daphne seedling,
Daphne sp.,
Darmera peltata,
Darmera seedling,
Darmera sp.,
Dasypyrum seedling,
Dasypyrum sp.,
Dasypyrum villosum,
Date - day,
Date - month,
Date - year,
Date seedling,
Date sp.,
Datura ferox,
Datura innoxia,
Datura metel,
Datura seedling,
Datura sp.,
Datura stramonium,
Daucus carota,
Daucus carota ssp gummifer,
Daucus carota subsp. carota,
Daucus carota subsp. gummifer,
Daucus carota subsp. maritimus,
Daucus carota subsp. sativus,
Daucus crinitus,
Daucus durieua,
Daucus glochidiatus,
Daucus guttatus,
Daucus littoralis,
Daucus montanus,
Daucus muricatus,
Daucus pusillus,
Daucus seedling,
Daucus sp.,
Davallia bullata,
Davallia canariensis,
Davallia seedling,
Davallia sp.,
Davidia involucrata,
Davidia seedling,
Davidia sp.,
Dead seedling,
Dead sp.,
Dead wood,
Degelia atlantica,
Degelia lingulata,
Degelia plumbea,
Degelia seedling,
Degelia sp.,
Delairea odorata,
Delairea seedling,
Delairea sp.,
Delosperma burtoniae,
Delosperma seedling,
Delosperma sp.,
Delphinium elatum,
Delphinium exaltatum,
Delphinium fissum,
Delphinium nudicaule,
Delphinium peregrinum,
Delphinium seedling,
Delphinium sp.,
Delphinium verdunense,
Delphinium x cultorum,
Dendranthema coreanum,
Dendranthema seedling,
Dendranthema sp.,
Dendranthema x grandiflorum,
Dendranthema zawadskii,
Dermatocarpon arnoldianum,
Dermatocarpon intestiniforme,
Dermatocarpon lachnaeum,
Dermatocarpon leptophyllum,
Dermatocarpon luridum,
Dermatocarpon meiophyllizum,
Dermatocarpon miniatum,
Dermatocarpon rivulorum,
Dermatocarpon seedling,
Dermatocarpon sp.,
Deschampsia cespitosa,
Deschampsia cespitosa alpina,
Deschampsia cespitosa cespitosa,
Deschampsia cespitosa subsp. alpina,
Deschampsia cespitosa subsp. cespitosa,
Deschampsia cespitosa subsp. parviflora,
Deschampsia danthonioides,
Deschampsia flexuosa,
Deschampsia seedling,
Deschampsia setacea,
Deschampsia sp.,
Descurainia pinnata,
Descurainia pulcherrima,
Descurainia richardsonii,
Descurainia seedling,
Descurainia sophia,
Descurainia sp.,
Desfontainea seedling,
Desfontainea sp.,
Desfontainea spinosa,
Desmatodon cernuus,
Desmatodon convolutus,
Desmatodon leucostoma,
Desmatodon seedling,
Desmatodon sp.,
Desmazeria marina,
Desmazeria philistaea,
Desmazeria rigida,
Desmazeria seedling,
Desmazeria sicula,
Desmazeria sp.,
Desmodium seedling,
Desmodium sp.,
Desmodium varians,
Deutzia purpurascens x sieboldiana = D. x elegantissima,
Deutzia scabra,
Deutzia seedling,
Deutzia sp.,
Dianthus arenarius,
Dianthus armeria,
Dianthus barbatus,
Dianthus carthusianorum,
Dianthus caryophyllus,
Dianthus caryophyllus x plumarius,
Dianthus deltoides,
Dianthus gallicus,
Dianthus gratianopolitanus,
Dianthus gratianopolitanus x caryophyllus,
Dianthus gratianopolitanus x caryophyllus x plumarius,
Dianthus gratianopolitanus x plumarius,
Dianthus guttatus,
Dianthus plumarius,
Dianthus seedling,
Dianthus sp.,
Dianthus sylvestris,
Diapensia lapponica,
Diapensia seedling,
Diapensia sp.,
Dicentra canadensis,
Dicentra eximia,
Dicentra formosa,
Dicentra seedling,
Dicentra sp.,
Dichanthium seedling,
Dichanthium sericeum,
Dichanthium sericeum subsp. humile,
Dichanthium sericeum subsp. sericeum,
Dichanthium sp.,
Dichelachne crinita,
Dichelachne seedling,
Dichelachne sp.,
Dichodontium flavescens,
Dichodontium pellucidum,
Dichodontium seedling,
Dichodontium sp.,
Dichondra micrantha,
Dichondra seedling,
Dichondra sp.,
Dichrocephala chrysanthemifolia,
Dichrocephala integrifolia,
Dichrocephala seedling,
Dichrocephala sp.,
Dicksonia antarctica,
Dicksonia seedling,
Dicksonia sp.,
Dicranella cerviculata,
Dicranella crispa,
Dicranella grevilleana,
Dicranella heteromalla,
Dicranella palustris,
Dicranella rufescens,
Dicranella schreberana,
Dicranella seedling,
Dicranella sp.,
Dicranella staphylina,
Dicranella subulata,
Dicranella varia,
Dicranodontium asperulum,
Dicranodontium denudatum,
Dicranodontium seedling,
Dicranodontium sp.,
Dicranodontium subporodictyon,
Dicranodontium uncinatum,
Dicranoweissia cirrata,
Dicranoweissia crispula,
Dicranoweissia seedling,
Dicranoweissia sp.,
Dicranum bonjeani,
Dicranum elongatum,
Dicranum flagellare,
Dicranum fuscescens,
Dicranum glaciale,
Dicranum leioneuron,
Dicranum majus,
Dicranum montanum,
Dicranum polysetum,
Dicranum scoparium,
Dicranum scottianum,
Dicranum seedling,
Dicranum sp.,
Dicranum spurium,
Dicranum tauricum,
Dicranum undulatum,
Dictyonema interruptum,
Dictyonema seedling,
Dictyonema sp.,
Didesmus aegyptius,
Didesmus seedling,
Didesmus sp.,
Dieffenbachia seedling,
Dieffenbachia seguine,
Dieffenbachia sp.,
Diervilla lonicera,
Diervilla seedling,
Diervilla sp.,
Digera muricata,
Digera seedling,
Digera sp.,
Digitalis ferruginea,
Digitalis grandiflora,
Digitalis lanata,
Digitalis lutea,
Digitalis purpurea,
Digitalis seedling,
Digitalis sp.,
Digitaria aequiglumis,
Digitaria ammophila,
Digitaria breviglumis,
Digitaria brownii,
Digitaria ciliaris,
Digitaria cognata,
Digitaria ctenantha,
Digitaria didactyla,
Digitaria diffusa,
Digitaria divaricatissima,
Digitaria eriantha,
Digitaria hubbardii,
Digitaria ischaemum,
Digitaria milanjiana,
Digitaria parviflora,
Digitaria ramularis,
Digitaria sanguinalis,
Digitaria seedling,
Digitaria sp.,
Digitaria ternata,
Digitaria velutina,
Digitaria violascens,
Dimerella lutea,
Dimerella pineti,
Dimerella seedling,
Dimerella sp.,
Dimorphotheca pluvialis,
Dimorphotheca seedling,
Dimorphotheca sinuata,
Dimorphotheca sp.,
Diphasiastrum alpinum,
Diphasiastrum complanatum,
Diphasiastrum complanatum ssp issleri,
Diphasiastrum complanatum subsp. issleri,
Diphasiastrum seedling,
Diphasiastrum sp.,
Diphasium alpinum,
Diphasium seedling,
Diphasium sp.,
Diphyscium foliosum,
Diphyscium seedling,
Diphyscium sp.,
Diploicia canescens,
Diploicia seedling,
Diploicia sp.,
Diplophyllum albicans,
Diplophyllum obtusifolium,
Diplophyllum seedling,
Diplophyllum sp.,
Diplophyllum taxifolium,
Diploschistes caesioplumbens,
Diploschistes caesioplumbeus,
Diploschistes gypsaceus,
Diploschistes muscorum,
Diploschistes scruposus,
Diploschistes seedling,
Diploschistes sp.,
Diplotaxis catholica,
Diplotaxis crassifolia,
Diplotaxis erucoides,
Diplotaxis harra,
Diplotaxis muralis,
Diplotaxis seedling,
Diplotaxis sp.,
Diplotaxis tenuifolia,
Diplotaxis tenuisiliqua,
Diplotaxis viminea,
Diplotaxis virgata,
Diplotomma alboatrum,
Diplotomma chlorophaeum,
Diplotomma epipolium,
Diplotomma murorum,
Diplotomma seedling,
Diplotomma sp.,
Dipsacus fullonum,
Dipsacus fullonum x laciniatus = D. x pseudosilvester,
Dipsacus fullonum x sativus,
Dipsacus laciniatus,
Dipsacus pilosus,
Dipsacus sativus,
Dipsacus seedling,
Dipsacus sp.,
Dipsacus strigosus,
Dirina massiliensis,
Dirina seedling,
Dirina sp.,
Discelium nudum,
Discelium seedling,
Discelium sp.,
Disphyma crassifolium,
Disphyma seedling,
Disphyma sp.,
Dissanthelium calycinum,
Dissanthelium seedling,
Dissanthelium sp.,
Distichium capillaceum,
Distichium inclinatum,
Distichium seedling,
Distichium sp.,
District Council,
District seedling,
District sp.,
Ditrichum cornubicum,
Ditrichum cylindricum,
Ditrichum flexicaule,
Ditrichum heteromallum,
Ditrichum lineare,
Ditrichum plumbicola,
Ditrichum pusillum,
Ditrichum seedling,
Ditrichum sp.,
Ditrichum subulatum,
Ditrichum zonatum,
Dittrichia graveolens,
Dittrichia seedling,
Dittrichia sp.,
Dittrichia viscosa,
Doronicum austriacum,
Doronicum columnae,
Doronicum orientale,
Doronicum pardalianches,
Doronicum pardalianches x plantagineum = D. x willdenowii,
Doronicum pardalianches x plantagineum x columnae = D. x excelsum,
Doronicum plantagineum,
Doronicum seedling,
Doronicum sp.,
Dorycnium hirsutum,
Dorycnium pentaphyllum,
Dorycnium rectum,
Dorycnium seedling,
Dorycnium sp.,
Douinia ovata,
Douinia seedling,
Douinia sp.,
Downingia elegans,
Downingia seedling,
Downingia sp.,
Draba aizoides,
Draba incana,
Draba muralis,
Draba norvegica,
Draba seedling,
Draba sp.,
Dracocephalum moldavica,
Dracocephalum parviflorum,
Dracocephalum seedling,
Dracocephalum sp.,
Dracocephalum thymiflorum,
Dracunculus seedling,
Dracunculus sp.,
Dracunculus vulgaris,
Drepanocladus aduncus,
Drepanocladus exannulatus,
Drepanocladus fluitans,
Drepanocladus lycopodioides,
Drepanocladus revolvens,
Drepanocladus revolvens var. intermedius,
Drepanocladus seedling,
Drepanocladus sendtneri,
Drepanocladus sp.,
Drepanocladus uncinatus,
Drepanocladus vernicosus,
Drepanolejeunea hamatifolia,
Drepanolejeunea seedling,
Drepanolejeunea sp.,
Drosanthemum attenuatum,
Drosanthemum floribundum,
Drosanthemum seedling,
Drosanthemum sp.,
Drosera anglica,
Drosera binata,
Drosera capensis,
Drosera intermedia,
Drosera rotundifolia,
Drosera rotundifolia x anglica = D. x obovata,
Drosera rotundifolia x intermedia = D. x belezeana,
Drosera seedling,
Drosera sp.,
Drosera x obovata,
Dryas octopetala,
Dryas seedling,
Dryas sp.,
Dryopteris abbreviata,
Dryopteris aemula,
Dryopteris affinis,
Dryopteris affinis subsp. affinis,
Dryopteris affinis subsp. borreri,
Dryopteris affinis subsp. cambrensis,
Dryopteris assimilis,
Dryopteris borreri,
Dryopteris borreri x filix-mas,
Dryopteris carthusiana,
Dryopteris carthusiana x dilatata = D. x deweveri,
Dryopteris carthusiana x dilitata,
Dryopteris carthusiana x expansa = D. x sarvelae,
Dryopteris cristata,
Dryopteris cristata x carthusiana = D. x uliginosa,
Dryopteris dilatata,
Dryopteris dilatata x expansa = D. x ambroseae,
Dryopteris dilatata x filix-mas,
Dryopteris expansa,
Dryopteris filix-mas,
Dryopteris filix-mas x affinis = D. x complexa,
Dryopteris filix-mas x carthusiana = D. x brathaica,
Dryopteris oreades,
Dryopteris oreades x aemula = D. x pseudoabbreviata,
Dryopteris oreades x filix-mas = D. x mantoniae,
Dryopteris remota,
Dryopteris seedling,
Dryopteris sp.,
Dryopteris submontana,
Dryopteris villarii,
Dryopteris x deweveri,
Dryopteris x tavelii,
Dryptodon patens,
Dryptodon seedling,
Dryptodon sp.,
Duchesnea indica,
Duchesnea seedling,
Duchesnea sp.,
Dumortiera hirsuta,
Dumortiera seedling,
Dumortiera sp.,
Dung seedling,
Dung sp.,
Dung/urine sp.,
Dysphania glomulifera,
Dysphania littoralis,
Dysphania seedling,
Dysphania sp.,
Ecballium elaterium,
Ecballium seedling,
Ecballium sp.,
Eccremocarpus scaber,
Eccremocarpus seedling,
Eccremocarpus sp.,
Echeveria derenbergii,
Echeveria seedling,
Echeveria sp.,
Echinaria capitata,
Echinaria seedling,
Echinaria sp.,
Echinochloa colona,
Echinochloa crus-galli,
Echinochloa crus-pavonis,
Echinochloa esculenta,
Echinochloa frumentacea,
Echinochloa muricata,
Echinochloa oryzoides,
Echinochloa pungens,
Echinochloa pyramidalis,
Echinochloa seedling,
Echinochloa sp.,
Echinochloa turneriana,
Echinophora seedling,
Echinophora sp.,
Echinophora spinosa,
Echinopogon ovatus,
Echinopogon seedling,
Echinopogon sp.,
Echinops bannaticus,
Echinops exaltatus,
Echinops humilis,
Echinops seedling,
Echinops sp.,
Echinops sphaerocephalus,
Echinops strigosus,
Echium arenarium,
Echium italicum,
Echium lusitanicum,
Echium parviflorum,
Echium pininana,
Echium pininana x webbii = E. x scilloniensis,
Echium plantagineum,
Echium rosulatum,
Echium seedling,
Echium sp.,
Echium tuberculatum,
Echium vulgare,
Eclipta prostrata,
Eclipta seedling,
Eclipta sp.,
Egeria densa,
Egeria seedling,
Egeria sp.,
Ehrharta calycina,
Ehrharta erecta,
Ehrharta longiflora,
Ehrharta longifolia,
Ehrharta seedling,
Ehrharta sp.,
Ehrharta stipoides,
Eichhornia crassipes,
Eichhornia seedling,
Eichhornia sp.,
Eiglera flavida,
Eiglera seedling,
Eiglera sp.,
Einadia polygonoides,
Einadia seedling,
Einadia sp.,
Einadia trigonos,
Einadia trigonos subsp. stellulata,
Einadia trigonos subsp. trigonos,
Elaeagnus commutata,
Elaeagnus glabra,
Elaeagnus macrophylla,
Elaeagnus macrophylla x pungens = E. x submacrophylla,
Elaeagnus multiflora,
Elaeagnus pungens,
Elaeagnus seedling,
Elaeagnus sp.,
Elaeagnus umbellata,
Elatine alsinastrum,
Elatine hexandra,
Elatine hydropiper,
Elatine seedling,
Elatine sp.,
Eleocharis acicularis,
Eleocharis austriaca,
Eleocharis mamillata,
Eleocharis mamillata subsp. austriaca,
Eleocharis multicaulis,
